"Customer";"Location";"All Time Work";"Number of sensors";"TempSen";"HumpSen";"LightSen";"AcousticsSen";"AccSen";"GyrSen";"MagSen";"Power";"Wi-Fi";"BT";"JTAG";"Board";"iOSapp";"AndroidApp";"DataGetParammetrs"
"machineFesto-17";"Workshop-13";531047201;13;39;35;1344;67;917;32;35;"5";"yes";"yes";"yes";"STM32";"yes";"no";"2020-08-12"
"PLC_Bosch19";"Workshop3";80957710;27;48;85;1545;40;89;22;65;"220";"no";"no";"no";"ESP32";"yes";"yes";"2019-08-22"
"u_NewGenIoT-3";"Department28";808241695;35;46;100;8256;69;2522;48;31;"3";"yes";"yes";"no";"STM32";"yes";"yes";"2020-06-06"
"Iot_IoTSiemens#3";"Place/4";12744658;20;22;43;4760;34;727;51;38;"3";"yes";"no";"yes";"ESP8266";"yes";"no";"2020-09-17"
"u_CISS Bosch3";"Department3";654719113;42;49;25;2930;88;1369;80;79;"3";"no";"no";"yes";"ESP32";"yes";"no";"2019-09-18"
"Iot_Bosch5";"Department7";478691403;25;10;61;9929;67;659;72;80;"220";"yes";"yes";"yes";"STM32";"no";"no";"2018-11-27"
"machineSiemens:6";"Room-22";150805534;21;45;45;9012;62;-2829;57;81;"5";"no";"no";"yes";"STM32";"no";"no";"2019-05-16"
"PLC_Siemens11";"Department-3";585233867;6;49;97;7124;87;-275;45;30;"3";"yes";"yes";"yes";"STM";"yes";"yes";"2019-11-28"
"machineSensXiom#20";"Department#31";733774469;39;18;81;9461;77;1964;25;56;"5";"no";"yes";"yes";"ESP32";"yes";"no";"2019-11-08"
"CustomerFesto#17";"Station:3";593677743;25;31;80;6542;32;1831;98;89;"220";"no";"yes";"yes";"ESP8266";"no";"yes";"2019-09-06"
"u_OSISoftIoT21";"Station/9";125937796;16;49;73;8607;64;-240;50;79;"3";"yes";"yes";"yes";"STM";"yes";"yes";"2020-10-09"
"u_OSISoftIoT-22";"Station14";188304725;12;42;90;5415;62;588;46;62;"5";"yes";"no";"yes";"STM32";"no";"no";"2020-06-26"
"PLC_VersaIoT-22";"Place12";21891575;21;18;79;4391;62;1991;29;96;"3";"yes";"yes";"yes";"ESP8266";"no";"yes";"2020-08-01"
"machineVersaIoT:4";"Room6";576157376;23;40;30;6620;19;3045;35;37;"220";"yes";"yes";"yes";"STM32";"no";"no";"2019-06-19"
"PLC_CNC:20";"Department:35";626157775;36;39;97;8430;66;2229;53;71;"5";"yes";"no";"no";"ESP8266";"yes";"no";"2019-11-01"
"machineBosch/12";"Workshop_22";56159019;14;16;40;2485;47;-1617;94;100;"5";"no";"yes";"yes";"STM32";"no";"yes";"2019-08-01"
"Iot_:23";"Department/41";357027187;11;54;31;5427;71;-193;37;96;"5";"yes";"no";"yes";"ESP8266";"yes";"no";"2020-01-23"
"PLC_CNC18";"Workshop#39";595078837;5;41;99;1885;21;345;32;84;"5";"no";"no";"yes";"STM32";"yes";"yes";"2020-09-18"
"u_XDK Bosch#7";"Station#3";526661793;37;29;61;5873;36;-1979;66;93;"3";"yes";"no";"no";"STM";"no";"no";"2020-10-01"
"u_OSISoftIoT:17";"Workshop-20";735058226;21;10;43;7640;26;-2545;49;44;"3";"no";"yes";"no";"ESP8266";"no";"no";"2019-04-14"
"PLC_FanucIoT_22";"Station_42";282623465;40;49;55;9915;40;-1695;71;62;"3";"yes";"yes";"yes";"ESP8266";"no";"no";"2019-11-23"
"machineFestoR2672";"Station:7";110254069;21;30;57;5976;42;683;95;23;"5";"no";"no";"no";"ESP8266";"no";"no";"2019-02-12"
"Customer/5";"Place.25";553007182;37;17;53;6464;97;-2894;36;44;"3";"yes";"yes";"no";"STM";"no";"no";"2019-06-02"
"machine10";"Room41";433931835;35;50;78;3338;45;-2477;69;84;"3";"yes";"yes";"yes";"STM32";"yes";"no";"2019-02-12"
"PLCXDK Bosch23";"Room.34";169714493;35;33;44;3770;50;841;56;39;"5";"no";"no";"no";"ESP8266";"yes";"yes";"2020-06-05"
"machineSensXiom_4";"Place:17";837786554;43;46;54;4337;65;2745;21;97;"5";"no";"no";"no";"ESP8266";"no";"yes";"2019-01-08"
"u_NewGenIoT:10";"Place.41";807432631;44;17;60;9925;48;-350;25;91;"5";"no";"no";"yes";"ESP8266";"no";"yes";"2020-02-19"
"CustomerVersaIoT/13";"Place_30";840725846;33;40;50;2662;45;2742;87;19;"220";"no";"no";"yes";"ESP8266";"yes";"no";"2020-07-08"
"PLCFestoR267/1";"Department/10";597869698;22;9;99;5293;95;1456;82;76;"3";"no";"yes";"yes";"STM";"no";"yes";"2019-05-09"
"u_XDK Bosch-20";"Place_28";483734288;23;37;56;4394;84;2765;38;29;"3";"no";"no";"no";"STM32";"no";"no";"2020-10-02"
"Iot_XDK Bosch#15";"Place:17";353530072;28;11;82;7150;94;1164;24;30;"5";"no";"yes";"no";"STM";"yes";"yes";"2019-12-14"
"machine:21";"Room12";450738626;21;41;31;6782;100;-1626;99;96;"220";"no";"no";"yes";"ESP8266";"yes";"no";"2020-04-26"
"machineSiemens13";"Workshop14";447539312;3;1;90;3271;21;-1989;57;54;"3";"yes";"no";"yes";"ESP8266";"no";"no";"2020-07-17"
"u_Bosch_16";"Place.8";472931842;40;18;65;379;96;-950;56;62;"5";"no";"yes";"yes";"ESP8266";"yes";"no";"2020-02-06"
"u_IIoT.1";"Workshop/42";337110527;37;15;99;8400;23;-1062;48;31;"5";"yes";"no";"yes";"ESP8266";"no";"yes";"2020-09-26"
