"Customer";"Location";"All Time Work";"Number of sensors";"TempSen";"HumpSen";"LightSen";"AcousticsSen";"AccSen";"GyrSen";"MagSen";"Power";"Wi-Fi";"BT";"JTAG";"Board";"iOSapp";"AndroidApp";"DataGetParammetrs"
"machineFesto-17";"";884195792;5;22;87;2027;35;2765;81;18;"3";"";"
";"N/I";";";"no";"NO;";"2019-06-17"
"PLCGPDI5115";"Station-28";95733549;12;21;30;6302;85;-91;59;60;"5";"";"No information";"YES";"ESP32";"yes";"NO;";"2019-08-11"
"PLC_CISS Bosch/18";"";50965425;8;11;75;7293;27;1981;97;85;"3";"апр";"yes";"No information";",";"апр";"no";"2017-12-28"
"CustomerIIoT/22";"";712824626;8;30;25;7612;36;-2841;49;69;"5";"yes";"yes";"нет";"ESP8266";"-";"Да";"2018-12-03"
"PLC_NewGenIoT4";"Workshop/6";787667243;7;39;30;2415;87;-2979;29;74;"5";"no info";"NO";"N/I";""""",";"Нет";"апр";"2019-12-30"
"u_Bosch.15";"";822622755;24;3;65;2386;58;2774;38;86;"3";"";"No Information";"N/I";"ESP32";"NO";"0";"2019-11-20"
"Iot_IoT#19";"";585261867;6;49;97;7124;87;-275;46;30;"3";"
";"yes";"NO;";"STM32";"Да";"--";"2019-07-18"
"machineGPDI51_18";"";650671830;39;31;67;7597;94;-320;74;98;"220";"";"YES";"+";"ESP32";"-";"Да";"2019-02-10"
"PLC_XDK_12";"Station/23";15748351;20;39;27;9143;66;1252;73;67;"3";"нет";"Да";"нет";"ЕSP8266";"апр";"yes";"2019-11-06"
"PLC_Bosch10";"Department12";2838722;41;2;79;2079;32;-1083;66;83;"3";"";"-";"No information";"STM32";"1";"no info";"2019-05-06"
"u_FanucIoT-22";"Station14";380497951;29;46;54;5964;72;-3030;64;29;"5";"";"NO;";"-";""""",";"апр";"-";"2020-04-20"
